PSID,Latitude,Longitude,Z,BOTTOM_Z,DIAMETER
3822,62.46013019,6.26396048,26.85,25.34,1.2
3823,62.46009518,6.26495045,27.14,24.67,1.2
3824,62.46019717,6.26574982,27.9,25.18,1.2
58881,62.45994931,6.26311907,25.89,24.12,1.2
58882,62.45996656,6.26310081,25.89,24.1,1
58883,62.45997333,6.26313452,25.97,23.26,1.2
58884,62.46014482,6.26396904,26.84,24.9,1
58886,62.46014821,6.26492931,27.27,24.89,1
58887,62.46008889,6.26496849,27.12,25.3,1.2
58888,62.46019299,6.26577019,28.08,26.27,1
58907,62.46035042,6.26329651,26.76,25.07,0.65
59019,62.46022278,6.2629759,26.01,24.66,1
59021,62.45959161,6.26619354,31.81,29.7,1
112182,62.46052082,6.26379166,27.6,26.05,1.2
112760,62.46020249,6.26413873,26.9,25.56,1
112765,62.46011305,6.26423129,26.2,24.94,0.9
